eventID,eventDate,occurrenceID,basisOfRecord,recordNumber,catalogNumber,organismName,organismID,scientificName,lifeStage,sex,individualCount,taxonID,kingdom,phylum,family,genus,speciesEpithet,occurrenceStatus,recordedByID
74f6ab41-47b3-4447-a1d3-5fe53fbaf5fe,2015-06-02,4e6d3ae5-dbab-45d0-aec5-a512b23bd4e1,MaterialSample,294,Genlab_ID,Lmu112,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
b5ea7681-8dd9-4fa0-b2c0-7fd3ce22ab0b,2017-06-01,872e00af-d0b7-4493-b801-69ba90311f43,MaterialSample,RH01073,Genlab_ID,Lmu388,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
8e6dcb9f-cdd0-4057-a130-b1d1f1672761,2017-06-01,fd906107-a611-4872-8ba7-2991ffd87355,MaterialSample,RH01070,Genlab_ID,Lmu160,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
9b9f8994-28d0-4452-abbc-d33075194940,2017-06-02,1f2d43ba-2c0a-49d8-aa83-966ec8381940,MaterialSample,RH01068,Genlab_ID,Lmu228,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
8008e1cf-c5da-4241-a26f-917c4537daac,2017-06-02,8c3cb208-70b9-4615-903d-f742db6d7a65,MaterialSample,RH01067,Genlab_ID,Lmu395,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
9771a8d6-10ce-427e-b272-9f0796da6dc2,2017-06-02,dadc83a8-8cbf-4bc5-a972-0f0aa42c8f9a,MaterialSample,RH01066,Genlab_ID,Lmu412,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
812dbc92-787c-47cd-8558-b7fe94dfaa21,2017-06-02,7fe3be80-aba1-461a-98d9-9d6c0963c7ad,MaterialSample,RH01058,Genlab_ID,Lmu390,Create a unique ID,Lagopus muta,unknown,Female,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
e4838df0-e3ea-4428-aa41-9fd01abdc3fa,2017-06-02,b8cc5af6-5a14-427a-a005-74dc6385b2ae,MaterialSample,RH01057,Genlab_ID,Lla117,Create a unique ID,Lagopus lagopus,unknown,Male,1,https://www.biodiversity.no/4066,Animalia,Chordata,Phasianidae,Lagopus,lagopus,Present,https://orcid.org/0000-0002-5119-8331
e4838df0-e3ea-4428-aa41-9fd01abdc3fa,2017-06-02,c1b917ff-873c-4c3c-9490-c86caa9f17c2,MaterialSample,RH01055,Genlab_ID,Lla110,Create a unique ID,Lagopus lagopus,unknown,Male,1,https://www.biodiversity.no/4066,Animalia,Chordata,Phasianidae,Lagopus,lagopus,Present,https://orcid.org/0000-0002-5119-8331
41b3dec5-9e3a-453c-b88a-bfc3652ec2a0,2017-06-02,edb0d11e-398c-4c60-afcd-4a1f411a2454,MaterialSample,RH01053,Genlab_ID,Lmu376,Create a unique ID,Lagopus muta,unknown,Male,1,https://www.biodiversity.no/4070,Animalia,Chordata,Phasianidae,Lagopus,muta,Present,https://orcid.org/0000-0002-5119-8331
